,,,,,,,,
N=7,,,,,,,,
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,Bom(0) Ruim(1),-
1,-0.059684033907,43.449191756282,0.1809137424,-0.09943967484,-24788.6442675538,-24788.643520186513,1,
1,-0.059637925457,44.476328220185,0.1558466796,-0.1587142498,-24788.6456063089,-24788.643363083436,0,
2,-0.059632987756,47.921453717111,0.0846292589,-0.4554773544,-24788.6441121871,-24788.643298211140,1,
2,-0.059632871236,46.935666578087,0.1157800188,-0.3852713651,-24788.6441124901,-24788.643248273242,1,
2,-0.059587373957,47.208202811843,0.0115977906,-0.4214836184,-24788.6425533788,-24788.642183972006,1,
2,-0.059577114418,43.135736560598,0.1524609915,-0.07691118092,-24788.6444138585,-24788.643707854993,1,
2,-0.059531727158,46.130388687951,0.1483984649,-0.310918276,-24788.6441025608,-24788.643552106201,1,
6,-0.059482445307,46.148910228393,0.2325022158,-0.000001801414679,-24788.6438555337,-24788.643411234181,1,
2,-0.059356614827,47.708931990267,0.2408349858,-0.1392211433,-24788.6446002545,-24788.642272713776,1,
2,-0.059222238872,47.659238807611,0.2363966801,-0.1465576653,-24788.6428804758,-24788.642402396970,1,
2,-0.059205284059,52.367016021383,0.06905791276,-0.515419184,-24788.6426848183,-24788.642254518087,1,
1,-0.059203378357,50.228131314844,0.05706785241,-0.3966044077,-24788.6427565529,-24788.642342292227,1,
1,-0.058073309416,43.733144060227,0.1587270359,-0.2227901744,-24788.6442064307,-24788.639345823147,1,
1,-0.058011937032,45.674807692388,0.1408947756,-0.2855563284,-24788.6442385273,-24788.638207556633,1,
2,-0.057957717561,44.020310311655,0.1582139089,-0.1873945875,-24788.6458067237,-24788.638398568139,0,
1,-0.057917414732,43.160706438783,0.2199567323,-0.1241576573,-24788.6441476916,-24788.640194601579,1,
1,-0.057765941232,45.34855152385,0.1613687608,-0.2398977515,-24788.6452140348,-24788.638707842525,0,
1,-0.0576910834,45.03382583327,0.2175951755,-0.07428703397,-24788.6444111353,-24788.638852961329,1,
2,-0.057682220634,40.910065919917,0.6710877578E-01,-0.3337927242E+00,-24788.6383346768,-24788.63751052,1,
1,-0.057646375697,45.83165048893,0.217693281,-0.06630197436,-24788.6432908083,-24788.638768800542,1,
2,-0.057603148372,45.201169185091,0.1460912455,-0.1078150721,-24788.6434638632,-24788.639034607313,1,
,,,,,,,,
N=10,,,,,,,,
