,,,,,,,,
N=7,,,,,,,,
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,Bom(0) Ruim(1),-
1,-0.074087043644,55.424347322877,0.07018946781,-0.1015190496,-38556.0475613189,-38556.046370988057,0,
4,-0.074015887248,55.596503048094,0.06914445607,-0.06080626625,-38556.0471888788,-38556.046306338503,0,
1,-0.073562729915,59.372608248499,0.1660326699,-0.02779847133,-38556.045636771,-38556.044830351595,1,
2,-0.073547002998,56.013306661737,0.002498130784,-0.1155983012,-38556.0468821541,-38556.045879652156,1,
1,-0.073445667167,57.218990559608,0.05534903305,-0.05329491054,-38556.0463138177,-38556.045398455535,1,
1,-0.073440736397,58.883570343171,0.1049100313,-0.1849919616,-38556.0457316965,-38556.044886985692,1,
8,-0.07344037592,56.062132840684,0.000003076052925,-0.1171951649,-38556.046918746,-38556.045752574864,1,
2,-0.073425827762,59.131611109552,0.142212695,-0.1316155435,-38556.0459650922,-38556.045648845306,1,
2,-0.073412288985,59.972041987176,0.1340903481,-0.1558608609,-38556.04811479,-38556.045012041555,0,
1,-0.073377422347,58.545952241804,0.1072108503,-0.03822360597,-38556.0451240904,-38556.044377024380,1,
2,-0.07321350368,59.252374970794,0.1506808833,-0.01883936719,-38556.0451229431,-38556.044355425831,1,
2,-0.073364257209,59.422350907765,0.4870659165E-01,-0.2099308693E+00,-38556.0452330439,-38556.04448685,1,
2,-0.073097369187,63.535659137349,0.1265055963,-0.2555753933,-38556.045614125,-38556.043054583315,1,
2,-0.072978262722,59.895032232501,0.1437446315,-0.1497798146,-38556.0453922471,-38556.044651247284,1,
1,-0.072883162331,65.929554363208,0.08103429488,-0.3793998842,-38556.0452902408,-38556.042581530462,1,
1,-0.072792339041,65.216345571474,0.03004011856,-0.3952619635,-38556.0435223309,-38556.042776597453,1,
1,-0.072697344337,61.720133543472,0.120884491,-0.209542476,-38556.0460862616,-38556.044732102986,1,
1,-0.072424988868,66.194694364109,0.2024869893,-0.2273983844,-38556.0447714041,-38556.043517131431,1,
1,-0.072283348894,67.474505518394,0.1879419488,-0.2669669569,-38556.04555564,-38556.042812267973,1,
1,-0.072190521226,70.396622109162,0.09525789119,-0.3556752534,-38556.0430772209,-38556.042440266458,1,
1,-0.07200396054,70.041694533674,0.0686077498,-0.4543309006,-38556.0441613267,-38556.041401109149,1,
1,-0.071820504516,67.146716056234,0.03196984439,-0.3668340414,-38556.0459196507,-38556.042677734738,1,
1,-0.071751558567,65.87059091871,0.2216237626,-0.1307288431,-38556.0451464412,-38556.044146254615,1,
1,-0.0716392672318305,60.011821367506,0.1161326855,-0.1571463077,-38556.0457435087,-38556.040646058857,1,
2,-0.073336687567,60.873576184606,0.2732847699E-01,-0.2032467117E+00,-38556.0447483042,-38556.04377670,1,
2,-0.073323423337,60.852569290690,0.7616831539E-01,-0.2770478879E+00,-38556.0451646911,-38556.04444988,1,
2,-0.073283471358,57.522425838549,0.6969354309E-01,-0.1773581114E+00,-38556.046897109,-38556.04497232,1,
1,-0.073164612567,60.778642165076,0.1351329713E+00,-0.1054777071E+00,-38556.0448219572,-38556.04388510,1,
2,-0.07315227207,59.584767624458,0.8645201405E-02,-0.1776288285E+00,-38556.0458377473,-38556.04510503,1,
2,-0.073094234789,58.868097920826,0.4279088654E-01,-0.4200462869E-02,-38556.0452427297,-38556.04438466,1,
1,-0.073046021204,60.331930406463,0.1765434398E+00,-0.1049147508E+00,-38556.0451904944,-38556.04409061,1,
2,-0.073032269348,59.041310262339,0.1237212339E+00,-0.8908198541E-02,-38556.0453075767,-38556.04439038,1,
1,-0.072956143825,62.549258085363,0.2344361656E+00,-0.7970554973E-01,-38556.0442593811,-38556.04356708,1,
1,-0.072917540046,63.020918528910,0.1658657420E+00,-0.2325141149E+00,-38556.0450195005,-38556.04410964,1,
2,-0.072859569888,61.761898001880,0.4186216255E-01,-0.1639516188E+00,-38556.0447277664,-38556.04389717,1,
1,-0.072857873837,62.451572950262,0.2064912533E+00,-0.9074393362E-01,-38556.04629754,-38556.04319981,1,
1,-0.072828003847,64.540007222509,0.1772674853E+00,-0.2324804233E+00,-38556.0441342794,-38556.04336602,1,
1,-0.07279144043,63.108490820994,0.1236549880E+00,-0.2369109910E+00,-38556.0452393853,-38556.04431039,1,
1,-0.072785655901,63.614566328668,0.1647576968E+00,-0.1923439602E+00,-38556.0448746332,-38556.04404572,1,
1,-0.072726714432,61.412155010901,0.1468427905E+00,-0.1502983977E+00,-38556.044003304,-38556.04336197,1,
1,-0.072719593144,61.686630492396,0.1141542018E+00,-0.1021786312E+00,-38556.0441175666,-38556.04335372,1,
2,-0.072685271719,68.571559594919,0.1528969148E+00,-0.3694692153E+00,-38556.0445599679,-38556.04380763,1,
2,-0.072664446511,63.394756555365,0.2496426158E+00,-0.1268916538E+00,-38556.0445872745,-38556.04387208,1,
2,-0.072648533115,63.559777027612,0.1631429431E+00,-0.1914158057E+00,-38556.0440218375,-38556.04308660,1,
1,-0.072648343104,61.054305217521,0.3877286054E-01,-0.1815265935E+00,-38556.0441556881,-38556.04346859,1,
2,-0.072638459527,65.894724931547,0.1076291929E+00,-0.3494134636E+00,-38556.0436476894,-38556.04304298,1,
1,-0.07261008755,61.653346061570,0.1307591907E+00,-0.7359809594E-01,-38556.0445648659,-38556.04350425,1,
1,-0.072604193081,64.187268912079,0.1491253409E+00,-0.1966366707E+00,-38556.0444970696,-38556.04395256,1,
2,-0.072398949749,64.642671433639,0.6238723994E-01,-0.3188526306E+00,-38556.0429921378,-38556.04223628,1,
1,-0.072388207633,63.027246536215,0.9140268105E-01,-0.1667116689E+00,-38556.0446867869,-38556.04295009,1,
1,-0.072354105152,65.954432165738,0.9955105310E-01,-0.3307386629E+00,-38556.0438443823,-38556.04328124,1,
2,-0.072329679782,57.149589522034,0.4494621649E-01,-0.1737995905E+00,-38556.0466727087,-38556.04289706,1,
